Word, Length, #Unique Characters, Optimal Guesses Required, Optimal Incorrect Guesses Required, Optimal Guesses, Optimal options at 10, Easy Guesses Required, Easy Incorrect Guesses Required, Easy options at 10
income, 6, 6, 8, 4, e l i n u a o k,0,12,7,0
inconstancy, 11, 8, 3, 1, e i n,0,5,1,0
incubated, 9, 9, 5, 1, e s d n u,0,7,2,0
indemnity, 9, 7, 7, 0, e i n y m d t,0,6,2,0
indifference, 12, 7, 2, 0, i n,0,4,3,0
indivisibility, 14, 9, 2, 0, i t,0,4,3,0
industrial, 10, 9, 3, 1, e i t,0,5,2,0
inertial, 8, 7, 4, 0, e i t n,0,5,1,0
infantrymen, 11, 9, 4, 0, e i r a,0,3,0,0
infield, 7, 6, 5, 2, e s r n i,0,5,3,0
inflexible, 10, 7, 5, 3, e r t v i,0,8,5,0
infrequently, 12, 10, 2, 0, i e,0,5,2,0
inhabiting, 10, 7, 5, 1, e i n g b,0,4,2,0
initialisation, 14, 7, 1, 0, i,0,5,1,0
inkpad, 6, 6, 6, 4, e a l o u i,0,5,3,0
innumeracy, 10, 9, 3, 1, e i l,0,5,2,0
insatiable, 10, 8, 7, 1, e a i n l b r,0,3,0,0
insignificance, 14, 8, 1, 0, i,0,4,2,0
inspires, 8, 6, 4, 1, e s t i,0,7,3,0
instincts, 9, 5, 3, 1, e i n,0,5,3,0
insulation, 10, 8, 8, 1, e i t n o a u l,0,7,1,0
integrative, 11, 8, 4, 0, e i a r,0,3,0,0
interaction, 11, 8, 7, 0, e i t a c r n,0,4,0,0
interdepartmental, 17, 10, 4, 0, i l m a,0,1,0,0
interleaving, 12, 9, 9, 1, i n t g r e v a w,0,10,3,0
internationals, 14, 9, 2, 0, i e,0,2,0,0
interrelations, 14, 9, 4, 0, i r s o,0,2,0,0
interview, 9, 7, 4, 1, e s r t,0,5,2,0
intractability, 14, 9, 2, 0, i t,0,2,1,0
intuition, 9, 5, 3, 1, e i n,0,5,2,0
inventions, 10, 7, 6, 0, e i n s o t,0,6,1,0
invigorated, 11, 10, 5, 0, e i r a t,0,4,0,0
inwards, 7, 7, 6, 2, e i n s o d,0,6,3,0
ironmonger, 10, 7, 5, 2, e s d r i,0,4,2,0
irresolvable, 12, 9, 3, 0, i e l,0,5,1,0
isobars, 7, 6, 5, 3, e i n s u,0,5,2,0
italicisation, 13, 8, 2, 0, i t,0,5,1,0
jackass, 7, 5, 5, 2, e i a s c,0,8,6,0
jangly, 6, 6, 9, 5, e a i o u y l r g,0,17,13,2
jealously, 9, 8, 10, 3, e i a t s y u o l z,0,24,16,2
jesuit, 6, 6, 6, 2, e r a i t s,0,7,3,0
jinx, 4, 4, 13, 10, e a o i s n d k t g y x m,3,22,20,12
jokey, 5, 5, 10, 7, e s d r l n o t y g,0,17,15,3
jovial, 6, 6, 6, 2, e a l i o c,0,7,4,0
judiciary, 9, 8, 4, 2, e i s a,0,6,4,0
junior, 6, 6, 7, 4, e a i n s u h,0,6,3,0
jute, 4, 4, 11, 7, e a o i u r n t m l j,0,14,11,4
keepers, 7, 5, 4, 0, e s r p,0,16,12,2
keypads, 7, 7, 6, 2, e i r s a d,0,9,6,0
kills, 5, 4, 12, 8, e s a o i l w t r p m k,0,20,17,7
kingdom, 7, 7, 6, 4, e i s l a o,0,7,4,0
kiwi, 4, 3, 6, 4, e a o i m w,0,15,14,3
knit, 4, 4, 9, 6, e a o i t s r u n,0,13,10,2
korean, 6, 6, 5, 1, e s n o r,0,6,2,0
lacerating, 10, 9, 7, 0, e i n g r t a,0,4,1,0
lady, 4, 4, 5, 2, e a s l d,0,11,8,0
lamentations, 12, 9, 4, 0, i t s n,0,3,0,0
landlady, 8, 5, 4, 2, e i a d,0,10,7,0
lapel, 5, 4, 6, 4, e s d r l b,0,16,12,2
lashed, 6, 6, 7, 2, e r d a l s t,0,10,5,0
latitudinal, 11, 7, 4, 1, e i n l,0,3,1,0
lavish, 6, 6, 9, 4, e a i n s r o h v,0,10,5,0
layouts, 7, 7, 7, 3, e i a o s u r,0,8,4,0
leaking, 7, 7, 10, 3, e i n g a l v s p k,0,21,15,4
leavening, 9, 7, 8, 3, e r n g i a d k,0,10,5,0
